Epoch,Iteration,Loss
0,0,0.524224281
0,1,0.529519439
0,2,0.560363531
0,3,0.507224679
0,4,0.52654016
0,5,0.504460096
0,6,0.537254453
0,7,0.510849357
0,8,0.551557302
0,9,0.502481043
0,10,0.576499343
1,0,0.533736408
1,1,0.508657753
1,2,0.505632997
1,3,0.512799084
1,4,0.482223123
1,5,0.5414083
1,6,0.521618843
1,7,0.479264319
1,8,0.503264844
1,9,0.531213403
1,10,0.454907954
2,0,0.47391504
2,1,0.446155369
2,2,0.476591557
2,3,0.406636775
2,4,0.446872264
2,5,0.395074904
2,6,0.434827268
2,7,0.40404591
2,8,0.410273254
2,9,0.403308243
2,10,0.391461015
3,0,0.418456137
3,1,0.435926497
3,2,0.323105663
3,3,0.384783715
3,4,0.29758209
3,5,0.336462975
3,6,0.384664446
3,7,0.347931713
3,8,0.319618285
3,9,0.323466718
3,10,0.351552904
4,0,0.292355478
4,1,0.288344771
4,2,0.330474615
4,3,0.304697573
4,4,0.340699255
4,5,0.281360567
4,6,0.334628999
4,7,0.302259713
4,8,0.338867486
4,9,0.251645833
4,10,0.384212255
5,0,0.357884228
5,1,0.357830048
5,2,0.35945642
5,3,0.294669926
5,4,0.328577608
5,5,0.263189673
5,6,0.311197996
5,7,0.320203185
5,8,0.290248394
5,9,0.281903416
5,10,0.246237785
6,0,0.386622876
6,1,0.321936727
6,2,0.284767032
6,3,0.317332745
6,4,0.268893808
6,5,0.308713973
6,6,0.313613772
6,7,0.316167623
6,8,0.265201449
6,9,0.311699212
6,10,0.401688397
7,0,0.323756576
7,1,0.345196486
7,2,0.309945166
7,3,0.328915924
7,4,0.311908871
7,5,0.276798546
7,6,0.305921167
7,7,0.287180543
7,8,0.327260911
7,9,0.330268502
7,10,0.294039756
8,0,0.324780792
8,1,0.313706279
8,2,0.293798506
8,3,0.329488695
8,4,0.326881111
8,5,0.264795661
8,6,0.30179742
8,7,0.330214024
8,8,0.304525256
8,9,0.342554986
8,10,0.312360704
9,0,0.291069299
9,1,0.312759042
9,2,0.29823792
9,3,0.336152285
9,4,0.294679463
9,5,0.3271842
9,6,0.313164353
9,7,0.27652356
9,8,0.284405589
9,9,0.348456264
9,10,0.296291292
10,0,0.307685584
10,1,0.292470425
10,2,0.279934555
10,3,0.323038161
10,4,0.317072302
10,5,0.288460016
10,6,0.363235176
10,7,0.361062765
10,8,0.268464029
10,9,0.290073007
10,10,0.33446911
11,0,0.309319913
11,1,0.362538457
11,2,0.333949268
11,3,0.267289042
11,4,0.305939287
11,5,0.339237273
11,6,0.215083838
11,7,0.314262629
11,8,0.315056354
11,9,0.304698199
11,10,0.392425448
12,0,0.30986011
12,1,0.352840722
12,2,0.281182528
12,3,0.380579829
12,4,0.349135011
12,5,0.392840147
12,6,0.333772063
12,7,0.296004474
12,8,0.285060108
12,9,0.309475124
12,10,0.290952504
13,0,0.294998229
13,1,0.262608737
13,2,0.297094673
13,3,0.320274115
13,4,0.307595611
13,5,0.303498447
13,6,0.320488483
13,7,0.289087325
13,8,0.334859461
13,9,0.350931883
13,10,0.194269478
14,0,0.251536578
14,1,0.291514724
14,2,0.274102807
14,3,0.305422068
14,4,0.292062104
14,5,0.296524942
14,6,0.28088814
